5/8/2018,15:05,00D48X,OS,TELKOM              ,  ,50,TLKM    ,250000,926000000,900000000,-26000000,                   ,        ,IDR,TLKM        ,   
5/8/2018,15:05,00D48X,OS,UNITED TRACTORS     ,  ,50,UNTR    ,70000,2170500000,1730750000,-439750000,                   ,        ,IDR,UNTR        ,   
5/8/2018,15:05,00D48X,OS,UNILEVER INDONESIA  ,  ,50,UNVR    ,10000,427256637.2,423750000,-3506637.17,                   ,        ,IDR,UNVR        ,   
5/8/2018,15:05,00D48X,ZL,BANK NIAGA-CURNT.ACC,0,   ,0NIAG   ,11604747768,11604747768,11604747768,                   ,0,SAME DAY,IDR,            ,   
5/8/2018,15:05,00D48X,ZL,BANK MEGA SYARIAH   ,2,   ,5MEGA-SY,15000000000,15000000000,15000000000,                   ,0,27/05/19,IDR,            ,   
5/8/2018,15:05,00D48X,ZL,BANK YUDHA BAKTI    ,2,   ,5YUDA   ,14500000000,14500000000,14500000000,                   ,15183561.65,10/6/2019,IDR,            ,   
5/8/2018,15:05,00D48X,ZL,PREPAID PPH25       ,14,   ,6-PPH25 ,28928773.81,28928773.81,28928773.81,                   ,0,SAME DAY,IDR,            ,   
5/8/2018,15:05,00D48X,ZL,PREPAID DIV. TAX    ,14,   ,6-PRETAX,38206661.84,38206661.84,38206661.84,                   ,0,SAME DAY,IDR,            ,   
5/8/2018,15:05,00D48X,ZL,ACCOUNT RECEIVABLES ,6,   ,7CR-A/R ,9533551.23,9533551.23,9533551.23,                   ,0,SAME DAY,IDR,            ,   
5/8/2018,15:05,00D48X,ZL,TAX PAYABLE         ,8,   ,8-TAXPAY,-52728688.73,-52728688.73,-52728688.73,                   ,0,SAME DAY,IDR,            ,   
5/8/2018,15:05,00D48X,ZL,AUDITOR FEE PAYABLE ,8,   ,8AUDT-PY,-1771784.04,-1771784.04,-1771784.04,                   ,0,SAME DAY,IDR,            ,   
5/8/2018,15:05,00D48X,ZL,CUST FEE PAYABLE    ,8,   ,8CUST-PY,-13257812.07,-13257812.07,-13257812.07,                   ,0,SAME DAY,IDR,            ,   
5/8/2018,15:05,00D48X,ZL,MGT FEE PAYABLE     ,8,   ,8MGT-PY ,-100934285,-100934285,-100934285,                   ,0,SAME DAY,IDR,            ,   
BAL,5/8/2018,00D48X,5MEGA-SY,BANK MEGA SYARIAH     ,27/05/19,6,15000000000,15000000000,,,,,,,,
BAL,5/8/2018,00D48X,5YUDA   ,BANK YUDHA BAKTI      ,24/05/19,8.5,2000000000,2000000000,,,,,,,,
BAL,5/8/2018,00D48X,5YUDA   ,BANK YUDHA BAKTI      ,26/05/19,8.5,1000000000,1000000000,,,,,,,,
BAL,5/8/2018,00D48X,5YUDA   ,BANK YUDHA BAKTI      ,15/06/19,8.5,500000000,500000000,,,,,,,,
BAL,5/8/2018,00D48X,5YUDA   ,BANK YUDHA BAKTI      ,10/6/2019,8,11000000000,11000000000,,,,,,,,
OPEN BALANCE                                                                                                                                             ,,,,,,,,                 ,                 ,33898022600,,,,,,
BAS,5/8/2018,00D48X,BANK NIAGA-CURNT.ACC     ,TRANSFER  ,9540054,TO BANK YUDHA BAKTI           ,PENEMPATAN DEP BANK YUDHA BAKTI                   ,11000000000,                 ,22898022600,,,,,,
BAS,5/8/2018,00D48X,BANK NIAGA-CURNT.ACC     ,TRANSFER  ,9540063,TO BANK MEGA SYARIAH          ,PENEMPATAN DEP MEGA SYARIAH                       ,15000000000,                 ,7898022600,,,,,,
BAS,5/8/2018,00D48X,BANK NIAGA-CURNT.ACC     ,EXPENSE   ,6549699,TRANSFER FEE                  ,BIAYA TRANSFER                                    ,70000,                 ,7897952600,,,,,,
BAS,5/8/2018,00D48X,BANK NIAGA-CURNT.ACC     ,EXPENSE   ,6550913,BANK CHARGES                  ,BIAYA ADM                                         ,30000,                 ,7897922600,,,,,,
BAS,5/8/2018,00D48X,BANK NIAGA-CURNT.ACC     ,TRANSFER  ,9541831,FROM BANK BUKOPIN             ,PENCAIRAN DEP BUKOPIN                             ,                 ,2000000000,9897922600,,,,,,
BAS,5/8/2018,00D48X,BANK NIAGA-CURNT.ACC     ,INTEREST  ,9541846,FROM BANK BUKOPIN             ,BUNGA DEP BUKOPIN                                 ,                 ,4874589,9902797189,,,,,,
BAS,5/8/2018,00D48X,BANK NIAGA-CURNT.ACC     ,TRANSFER  ,9541858,FROM CIMB NIAGA-SUBSCRIP      ,SUBS 20 05 2019                                   ,                 ,1700000000,11602797189,,,,,,
BAS,5/8/2018,00D48X,BANK NIAGA-CURNT.ACC     ,REINVEST  ,9541868,INTEREST RECEIVED             ,JAGIR                                             ,                 ,1950579.42,11604747768,,,,,,
TOTAL BANK NIAGA-CURNT.ACC                                                                                                                               ,,,,,,,,26000100000,3706825168,11604747768,,,,,,
OPEN BALANCE                                                                                                                                             ,,,,,,,,                 ,                 ,0,,,,,,
BAS,5/8/2018,00D48X,CIMB NIAGA-SUBSCRIP      ,TRANSFER  ,9539006,FROM SUBSCRIPTION PAYABLE     ,SUBS 20 05 2019                                   ,                 ,1700000000,1700000000,,,,,,
BAS,5/8/2018,00D48X,CIMB NIAGA-SUBSCRIP      ,TRANSFER  ,9541857,TO BANK NIAGA-CURNT.ACC       ,SUBS 20 05 2019                                   ,1700000000,                 ,0,,,,,,
TOTAL CIMB NIAGA-SUBSCRIP                                                                                                                                ,,,,,,,,1700000000,1700000000,0,,,,,,
OPEN BALANCE                                                                                                                                             ,,,,,,,,                 ,                 ,-52728688.73,,,,,,
TOTAL TAX PAYABLE                                                                                                                                        ,,,,,,,,                 ,                 ,-52728688.73,,,,,,
OPEN BALANCE                                                                                                                                             ,,,,,,,,                 ,                 ,-1742738.4,,,,,,
BAS,5/8/2018,00D48X,AUDITOR FEE PAYABLE      ,EXPENSE   ,6548897,AUDITOR FEES                  ,                                                  ,29045.64,                 ,-1771784.04,,,,,,
TOTAL AUDITOR FEE PAYABLE                                                                                                                                ,,,,,,,,29045.64,                 ,-1771784.04,,,,,,
OPEN BALANCE                                                                                                                                             ,,,,,,,,                 ,                 ,-12593804.97,,,,,,
BAS,5/8/2018,00D48X,CUST FEE PAYABLE         ,EXPENSE   ,6548896,CUSTODIAN FEE                 ,                                                  ,664007.1,                 ,-13257812.07,,,,,,
TOTAL CUST FEE PAYABLE                                                                                                                                   ,,,,,,,,664007.1,                 ,-13257812.07,,,,,,
OPEN BALANCE                                                                                                                                             ,,,,,,,,                 ,                 ,-95801063.33,,,,,,
BAS,5/8/2018,00D48X,MGT FEE PAYABLE          ,EXPENSE   ,6548898,INVESTMENT FEES               ,                                                  ,5133221.7,                 ,-100934285,,,,,,
TOTAL MGT FEE PAYABLE                                                                                                                                    ,,,,,,,,5133221.7,                 ,-100934285,,,,,,
OPEN BALANCE                                                                                                                                             ,,,,,,,,                 ,                 ,0,,,,,,
BAS,5/8/2018,00D48X,SUBSCRIPTION PAYABLE     ,TRANSFER  ,9539005,TO CIMB NIAGA-SUBSCRIP        ,SUBS 20 05 2019                                   ,1700000000,                 ,-1700000000,,,,,,
BAS,5/8/2018,00D48X,SUBSCRIPTION PAYABLE     ,DEPOSIT   ,6548669,SUBSCRIPTION                  ,                                                  ,                 ,1700000000,0,,,,,,
TOTAL SUBSCRIPTION PAYABLE                                                                                                                               ,,,,,,,,1700000000,1700000000,0,,,,,,
OPEN BALANCE                                                                                                                                             ,,,,,,,,                 ,                 ,28928773.81,,,,,,
TOTAL PREPAID PPH25                                                                                                                                      ,,,,,,,,                 ,                 ,28928773.81,,,,,,
OPEN BALANCE                                                                                                                                             ,,,,,,,,                 ,                 ,38206661.84,,,,,,
TOTAL PREPAID DIV. TAX                                                                                                                                   ,,,,,,,,                 ,                 ,38206661.84,,,,,,
OPEN BALANCE                                                                                                                                             ,,,,,,,,                 ,                 ,9533551.23,,,,,,
TOTAL ACCOUNT RECEIVABLES                                                                                                                                ,,,,,,,,                 ,                 ,9533551.23,,,,,,
