PortfolioCode,portfolioname,EQUITY,CORPORATE BONDS,GOVERNMENT BONDS,INVESTMENT FUNDS,MEDIUM TERM NOTES,LAIN2,ASSET
00D74W,00D74WKI002,0,0,0,0,3.5E+11,7480492393,3.5748E+11
00D74X,00D74XKI002,94122304740,0,0,0,0,6796382647,1.00919E+11
00D74Y,00D74YKI002,25887945700,0,0,0,0,21284687.84,25909230388
00D74Z,00D74ZKI002,0,0,0,0,56000000000,167182383.2,56167182383
00D76A,00D76AAP002,0,45714739350,9763074900,0,0,5475645282,60953459532
00D78A,00D78APLA02,84813566635,0,0,0,0,1153558140,85967124775
00D79C,00D79CSYA02,1.04097E+11,0,0,0,0,5355838732,1.09453E+11
00D79E,00D79ESYA02,0,56060500000,0,0,0,93392071877,1.49453E+11
00D79F,00D79FSYA02,2111627500,0,0,0,0,322195443,2433822943
00D79G,00D79GSYA02,28152977600,0,0,0,0,378351250.3,28531328850
00D79H,00D79HSYA02,0,6920300000,7818000000,0,0,1933781628,16672081628
00D79I,00D79ISYA02,77551901500,1.53975E+11,47580000000,0,0,5504470298,2.84611E+11
00D79J,00D79JSYA02,0,3270800000,0,0,0,7481537146,10752337146
00D79L,00D79LSYA02,0,8.20262E+11,0,0,41266500000,8.63241E+11,1.72477E+12
00D79O,00D79OSYA02,0,0,0,0,0,361916145.8,361916145.8
00D87A,00D87ABWS02,0,0,0,0,4.99156E+11,14290301607,5.13446E+11
00D87B,00D87BBWS02,0,0,0,0,2.29995E+11,1466927718,2.31462E+11
00D87C,00D87CBWS02,0,0,0,0,2.496E+11,5049727950,2.5465E+11
00D87D,00D87DBWS02,0,0,0,0,2.245E+11,4502286291,2.29002E+11
00D87E,00D87EBWS02,0,0,0,0,2.89325E+11,5845403633,2.9517E+11
00D87F,00D87FBWS02,0,0,0,0,6.14621E+11,17678280327,6.32299E+11
00D87G,00D87GBWS02,0,0,0,0,2.7954E+11,926912636.7,2.80467E+11
00D88A,00D88AGR003,5.28707E+11,0,0,0,0,85642341098,6.1435E+11
00D8AA,00D8AADH002,0,50600000000,0,0,0,3781585835,54381585835
00D8AE,00D8AEDH002,0,1.70214E+11,0,0,0,7409557079,1.77624E+11
00D8AI,00D8AIDH002,1.11817E+11,0,0,0,0,602067815.7,1.1242E+11
00D8AJ,00D8AJDH002,0,1.25618E+11,0,0,0,1676005951,1.27294E+11
00D8AK,00D8AKDH002,4.29445E+11,0,0,0,0,1167088773,4.30612E+11
00D8AL,00D8ALDH002,0,0,2.11634E+11,0,0,27044026392,2.38678E+11
00D8AN,00D8ANDH002,84498935000,0,0,0,0,6821711194,91320646194
00D8AP,00D8APDH002,0,5084500000,22834500000,0,0,4734244264,32653244264
00D8AS,00D8ASDH002,0,2.51213E+11,0,0,0,9934335641,2.61147E+11
00D8AT,00D8ATDH002,0,2000000000,6795500000,0,0,1349261139,10144761139
00D8AY,00D8AYDH002,7318948500,0,0,0,0,1151885535,8470834035
00D8AZ,00D8AZDH002,4629940500,0,3367000000,0,0,1515115780,9512056280
00D8BA,00D8BADH002,0,17849600000,16953500000,0,1687000000,8317596358,44807696358
00D8BB,00D8BBDH002,0,6967500000,1807000000,0,500000000,1176295112,10450795112
00D8BC,00D8BCDH002,0,0,0,0,1.43E+11,1833093423,1.44833E+11
00D8BD,00D8BDDH002,0,2.51334E+11,0,0,0,7063575430,2.58398E+11
00D8BE,00D8BEDH002,0,790000,0,0,0,1537276.81,2327276.81
00D8BG,00D8BGDH002,0,0,0,0,0,1002280.07,1002280.07
00D8BI,00D8BIDH002,0,1.1791E+11,0,0,6000000000,3525178972,1.27435E+11
00D8BJ,00D8BJDH002,0,1.7793E+11,0,0,0,4071916248,1.82002E+11
00D8BK,00D8BKDH002,0,98000000000,0,0,0,3145796157,1.01146E+11
00D8BL,00D8BLDH002,0,0,0,0,1.158E+11,4759578719,1.2056E+11
00D8BN,00D8BNDH002,0,44536750000,15322500000,0,0,1709875564,61569125564
00D8BO,00D8BODH002,0,0,0,0,1.05E+11,2116661499,1.07117E+11
00D8BP,00D8BPDH002,93776572300,0,0,0,0,1764051059,95540623359
00D8BQ,00D8BQDH002,1.25739E+12,0,0,0,0,-2745267843,1.25465E+12
00D8BR,00D8BRDH002,0,4.8974E+11,0,0,0,25026852327,5.14767E+11
00D8BS,00D8BSDH002,0,0,0,0,2E+11,4670299911,2.0467E+11
00D8BT,00D8BTDH002,9914257100,0,0,0,1000000000,1725809697,12640066797
00D8BU,00D8BUDH002,0,0,0,0,0,10138766100,10138766100
00D8BW,00D8BWDH002,0,5.66701E+11,0,0,1.5E+11,29592279335,7.46293E+11
00D8BX,00D8BXDH002,0,0,0,0,10000000000,173499816.9,10173499817
00D8BY,00D8BYDH002,0,1.5475E+11,0,0,50000000000,9676807529,2.14427E+11
00D8BZ,00D8BZDH002,0,4048000000,0,0,6000000000,343953584.3,10391953584
00D8CA,00D8CADH002,0,0,0,0,1E+11,3718657447,1.03719E+11
00D8CB,00D8CBDH002,1.85818E+11,0,0,0,0,3809420378,1.89627E+11
00D8CC,00D8CCDH002,24868740800,0,0,0,0,3815691132,28684431932
00D8CD,00D8CDDH002,0,2.3912E+11,0,0,20000000000,6323219138,2.65443E+11
00D8CE,00D8CEDH002,0,91000000000,0,0,0,1079594484,92079594484
00D90A,00D90AAZ002,0,11077925710,0,0,0,293830904,11371756614
00D91A,00D91AKS002,3.41619E+11,0,0,0,0,-131694985.6,3.41487E+11
00D91B,00D91BKS002,4.84858E+11,0,0,0,0,596265045.7,4.85454E+11
00D91C,00D91CKS002,0,4021827630,5025883500,0,0,2270376135,11318087265
00D91D,00D91DKS002,0,0,0,0,75000000000,593203992.4,75593203992
00D91E,00D91EKS002,30960069500,0,0,0,0,3536331944,34496401444
00D91F,00D91FKS002,0,0,0,0,2.01E+11,4372396616,2.05372E+11
00D92A,00D92APD002,3.41078E+11,0,0,0,0,408332395.2,3.41486E+11
00D94A,00D94AAAM002,24059017500,1885520280,0,0,3024244590,2634211622,31602993992
00D94B,00D94BAAM002,0,3990829200,2634401860,0,1000000000,2795380575,10420611635
00D94C,00D94CAAM002,88472600750,0,0,0,0,4361142651,92833743401
00D96A,00D96AD96002,0,0,0,23689249942,5000000000,11845761843,40535011785
00D96B,00D96BD96002,0,0,0,26599097698,68500000000,4887136750,99986234448
00D96C,00D96CD96002,0,0,0,1.39398E+11,36000000000,12543991987,1.87942E+11
00D96D,00D96DD96002,124352000,0,0,1.01024E+11,0,2519385347,1.03668E+11
