SENDER,PRICE DATE,PROFIL MI,CODE BASE SEC,SEC DSC,IBPA PRICE,MI PRICE,UPPER PRICE,LOWER PRICE,REASON
IBPA,20180813,BJ002,FR0064,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0064,88.050000,88.050000,88.350000,87.750000,
IBPA,20180813,BJ002,FR0070,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0070,102.336975,102.336975,102.596975,102.076975,
IBPA,20180813,BJ002,FR0072,OBLIGASI NEGARA REPUBLIK INDONESIA SERI FR0072,99.610320,99.610320,100.032509,99.188131,
IBPA,20180813,BJ002,PBS011,SBSN Seri PBS011,103.828569,103.828569,104.088569,103.568569,
IBPA,20180813,BJ002,PBS012,SBSN Seri PBS012,102.789188,102.789188,103.211377,102.367000,
IBPA,20180813,BJ002,PBS016,SBSN Seri PBS016,98.336987,98.336987,98.561987,98.111987,
IBPA,20180813,BJ002,PBS017,SBSN Seri PBS017,89.481472,89.481472,89.781472,89.181472,
IBPA,20180813,BJ002,SMII01ACN2,OBL BKLJT I SARANA MULTI INFRA. THP II TH2017 SR A,99.849771,99.849771,100.849771,98.849771,
IBPA,20180813,BZ002,ADHI01BCN1,OBL BERKELANJUTAN I ADHI TAHAP I TAHUN 2012 SERI B,100.291081,100.291100,101.491081,99.091081,
IBPA,20180813,BZ002,ADHI02CN1,OBL BERKELANJUTAN II ADHI KARYA TAHAP I TAHUN 2017,94.783498,94.783500,96.783498,92.783498,
IBPA,20180813,BZ002,ADMF02CCN3,OBL BKLJT II ADIRA FINANCE TAHAP III TH2014 SERI C,102.495015,103.495000,103.495015,101.495015,
IBPA,20180813,BZ002,ADMF02CCN4,OBL BKLJT II ADIRA FINANCE TAHAP IV TH 2014 SERI C,103.449484,103.449500,104.749484,102.149484,
IBPA,20180813,BZ002,ADMF03BCN1,OBL BKLJT III ADIRA FINANCE TAHAP I TH 2015 SERI B,103.384370,103.384400,104.684370,102.084370,
IBPA,20180813,BZ002,ADMF03BCN2,OBL BKLJT III ADIRA FINANCE TAHAP II TH2015 SERI B,100.104751,100.104800,101.104751,99.104751,
IBPA,20180813,BZ002,ADMF03BCN4,OBL BKLJT III ADIRA FINANCE TAHAP IV TH 2016 SR B,101.069999,101.070000,102.069999,100.069999,
IBPA,20180813,BZ002,ADMF03BCN5,OBL BKLJT III ADIRA FINANCE TAHAP V TH 2017 SR B,100.735944,100.735900,102.035944,99.435944,
IBPA,20180813,BZ002,ADMF03BCN6,OBL BKLJT III ADIRA FINANCE TAHAP VI TH 2017 SR B,99.423210,99.423200,100.723210,98.123210,
IBPA,20180813,BZ002,ADMF03CCN2,OBL BKLJT III ADIRA FINANCE TAHAP II TH2015 SERI C,103.471949,103.471900,104.771949,102.171949,
IBPA,20180813,BZ002,ADMF03CCN6,OBL BKLJT III ADIRA FINANCE TAHAP VI TH 2017 SR C,97.913997,97.914000,99.513997,96.313997,
IBPA,20180813,BZ002,ADMF04ACN1,OBL BKLJT IV ADIRA FINANCE THP I TH 2017 SERI A,99.769999,99.770000,100.769999,98.769999,
IBPA,20180813,BZ002,ADMF04BCN1,OBL BKLJT IV ADIRA FINANCE THP I TH 2017 SERI B,100.524325,100.524300,101.824325,99.224325,
IBPA,20180813,BZ002,ADMF04CCN1,OBL BKLJT IV ADIRA FINANCE THP I TH 2017 SERI C,94.439201,94.439200,96.039201,92.839201,
IBPA,20180813,BZ002,ADMF04CCN2,OBL BKLJT IV ADIRA FINANCE THP II TH 2018 SERI C,97.466090,97.466100,98.766090,96.166090,
IBPA,20180813,BZ002,AKRA01ACN1,OBL BKLJT I AKR CORPORINDO THP I TAHUN 2017 SERI A,99.288834,99.288800,100.588834,97.988834,
IBPA,20180813,BZ002,AKRA01B,OBLIGASI I AKR CORPORINDO TAHUN 2012 SERI B,100.546486,100.546500,101.846486,99.246486,
IBPA,20180813,BZ002,AKRA01BCN1,OBL BKLJT I AKR CORPORINDO THP I TAHUN 2017 SERI B,96.924065,96.924100,98.524065,95.324065,
IBPA,20180813,BZ002,AKRA01CCN1,OBL BKLJT I AKR CORPORINDO THP I TAHUN 2017 SERI C,94.798339,94.798300,96.398339,93.198339,
IBPA,20180813,BZ002,AMRT01BCN2,OBL BKLJ I SUMBER ALFARIA TRIJAYA THP II TH15 SR B,101.922281,101.922300,103.222281,100.622281,
IBPA,20180813,BZ002,AMRT02CN1,OBL BKLJT II SUMBER ALFARIA TRIJAYA THP I TH 2017,99.472368,99.472400,100.772368,98.172368,
IBPA,20180813,BZ002,AMRT02CN2,OBL BKLJT II SUMBER ALFARIA TRIJAYA THP II TH 2018,95.670953,95.671000,96.970953,94.370953,
IBPA,20180813,BZ002,ANTM01ACN1,OBL BERKELANJUTAN I ANTAM TAHAP I TH 2011 SERI A,99.750621,99.750600,101.250621,98.250621,
IBPA,20180813,BZ002,ANTM01BCN1,OBL BERKELANJUTAN I ANTAM TAHAP I TH 2011 SERI B,91.646200,91.646200,94.313400,88.979000,
IBPA,20180813,BZ002,APAI01A,OBLIGASI I ANGKASA PURA I TAHUN 2016 SERI A,97.809471,97.809500,99.409471,96.209471,
IBPA,20180813,BZ002,APAI01C,OBLIGASI I ANGKASA PURA I TAHUN 2016 SERI C,94.376208,94.376200,95.976208,92.776208,
IBPA,20180813,BZ002,APIA01A,OBLIGASI I ANGKASA PURA II TAHUN 2016 SERI A,99.907500,99.907500,101.207500,98.607500,
IBPA,20180813,BZ002,APIA01B,OBLIGASI I ANGKASA PURA II TAHUN 2016 SERI B,98.411773,98.411800,100.011773,96.811773,
IBPA,20180813,BZ002,APIA01C,OBLIGASI I ANGKASA PURA II TAHUN 2016 SERI C,97.181294,97.181300,98.781294,95.581294,
IBPA,20180813,BZ002,ASDF03ACN4,OBL BKL III ASTRA SEDAYA FINANCE THP IV TH17 SR A,99.907723,99.907700,100.907723,98.907723,
IBPA,20180813,BZ002,ASDF03BCN1,OBL BKLJT III ASTRA SEDAYA FINANCE THP I TH16 SR B,100.996062,100.996100,101.996062,99.996062,
IBPA,20180813,BZ002,ASDF03BCN2,OBL BKLJ III ASTRA SEDAYA FINANCE THP II TH16 SR B,100.529359,100.529400,101.829359,99.229359,
IBPA,20180813,BZ002,ASDF03BCN3,OBL BKL III ASTRA SEDAYA FINANCE THP III TH17 SR B,100.624587,100.624600,101.924587,99.324587,
IBPA,20180813,BZ002,ASDF03BCN4,OBL BKL III ASTRA SEDAYA FINANCE THP IV TH17 SR B,98.348403,98.348400,99.648403,97.048403,
IBPA,20180813,BZ002,ASDF03CCN4,OBL BKL III ASTRA SEDAYA FINANCE THP IV TH17 SR C,94.973382,94.973400,96.573382,93.373382,
