"000D4A","04/22/2020",1679089,"301015.000D4A",-1,00000187500000.00,"20/04/20 ASII     SDB-261 YUANTA SEKURITAS INDONES","IDR"
"000D4A","04/22/2020",7294767,"301020.000D4A",-1,00000002500000.00,"8SUB-WT  A564371 8SUB-WT  MM ENTRY                ","IDR"
"000D4A","04/22/2020",1679086,"301022.000D4A",-1,00000000085615.00,"20/04/20 RALS BAHANA SEKURITAS                    ","IDR"
"000D4A","04/22/2020",1679086,"301022.000D4A",-1,00000000008562.00,"20/04/20 RALS BAHANA SEKURITAS                    ","IDR"
"000D4A","04/22/2020",1679086,"301022.000D4A",-1,00000000023618.00,"20/04/20 RALS BAHANA SEKURITAS                    ","IDR"
"000D4A","04/22/2020",1679087,"301022.000D4A",-1,00000000079764.00,"20/04/20 PGAS TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",1679087,"301022.000D4A",-1,00000000007976.00,"20/04/20 PGAS TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",1679087,"301022.000D4A",-1,00000000035260.00,"20/04/20 PGAS TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",1679088,"301022.000D4A",-1,00000000276254.00,"20/04/20 BBRI TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",1679088,"301022.000D4A",-1,00000000027625.00,"20/04/20 BBRI TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",1679088,"301022.000D4A",-1,00000000122120.00,"20/04/20 BBRI TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",1679089,"301022.000D4A",-1,00000000182386.00,"20/04/20 ASII YUANTA SEKURITAS INDONESI           ","IDR"
"000D4A","04/22/2020",1679089,"301022.000D4A",-1,00000000018239.00,"20/04/20 ASII YUANTA SEKURITAS INDONESI           ","IDR"
"000D4A","04/22/2020",1679089,"301022.000D4A",-1,00000000080625.00,"20/04/20 ASII YUANTA SEKURITAS INDONESI           ","IDR"
"000D4A","04/22/2020",1679090,"301022.000D4A",-1,00000000170227.00,"20/04/20 TOWR TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",1679090,"301022.000D4A",-1,00000000017023.00,"20/04/20 TOWR TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",1679090,"301022.000D4A",-1,00000000075250.00,"20/04/20 TOWR TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",1679090,"301022.000D4A",-1,00000000175000.00,"20/04/20 TOWR TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",1679091,"301022.000D4A",-1,00000000117700.00,"20/04/20 EXCL YUANTA SEKURITAS INDONESI           ","IDR"
"000D4A","04/22/2020",1679091,"301022.000D4A",-1,00000000011770.00,"20/04/20 EXCL YUANTA SEKURITAS INDONESI           ","IDR"
"000D4A","04/22/2020",1679091,"301022.000D4A",-1,00000000052030.00,"20/04/20 EXCL YUANTA SEKURITAS INDONESI           ","IDR"
"000D4A","04/22/2020",1679091,"301022.000D4A",-1,00000000121000.00,"20/04/20 EXCL YUANTA SEKURITAS INDONESI           ","IDR"
"000D4A","04/22/2020",1679092,"301022.000D4A",-1,00000000134236.00,"20/04/20 BEEF TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",1679092,"301022.000D4A",-1,00000000013424.00,"20/04/20 BEEF TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",1679092,"301022.000D4A",-1,00000000059340.00,"20/04/20 BEEF TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",1679092,"301022.000D4A",-1,00000000138000.00,"20/04/20 BEEF TRIMEGAH SEC.                       ","IDR"
"000D4A","04/22/2020",7294767,"501001.000D4A",-1,-0000002500000.00,"Pfolio  000D4A Capital deposit                    ","IDR"
"000D4A","04/22/2020",0562355,"701001.000D4A",-1,-0000000444253.71,"0NIAG    A562355 0NIAG    MM ENTRY                ","IDR"
"000D4A","04/22/2020",0562357,"701001.000D4A",-1,00000000444253.71,"0NIAG    A562357 0NIAG    ADJUSTMENT              ","IDR"
"000D4A","04/22/2020",0562357,"701001.000D4A",-1,-0000000444253.71,"0NIAG    A562357 0NIAG    ADJUSTMENT              ","IDR"
"000D4A","04/22/2020",7293861,"801001.000D4A",01,00000002769690.58,"Pfolio  000D4A INVFEE                             ","IDR"
"000D4A","04/22/2020",7293862,"801002.000D4A",01,00000000276969.06,"Pfolio  000D4A CUST                               ","IDR"
"000D4A","04/22/2020",0562355,"801007.000D4A",01,00000000088850.74,"0NIAG    A562355 0NIAG    MM ENTRY                ","IDR"
"000D4A","04/22/2020",7293860,"801014.000D4A",01,00000000016666.67,"Pfolio  000D4A OH                                 ","IDR"
"000D8F","04/22/2020",1679434,"102001.000D8F",01,-0001001525000.00,"0NIAG    A562343  2771 BANK CIMB NIAGA            ","IDR"
"000D8F","04/22/2020",1679435,"102001.000D8F",01,-0001017633333.00,"0NIAG    A562344  2773 BANK CIMB NIAGA            ","IDR"
"000D8F","04/22/2020",1679522,"102001.000D8F",01,-0001005255556.00,"0NIAG    A562345  2772 BANK CIMB NIAGA            ","IDR"
"000D8F","04/22/2020",7293087,"102001.000D8F",01,-0000000011600.00,"0NIAG    A562530 0NIAG    MM ENTRY                ","IDR"
"000D8F","04/22/2020",7295010,"102001.000D8F",01,-0000000008700.00,"0NIAG    A564966 0NIAG    MM ENTRY                ","IDR"
"000D8F","04/22/2020",0562518,"102001.000D8F",01,00000000177948.98,"0NIAG    A562519 0NIAG    MM ENTRY                ","IDR"
"000D8F","04/22/2020",0562520,"102001.000D8F",01,00000001000000.00,"0NIAG    A562520 0NIAG    MM ENTRY                ","IDR"
"000D8F","04/22/2020",0562522,"102001.000D8F",01,00000000500000.00,"0NIAG    A562522 0NIAG    MM ENTRY                ","IDR"
"000D8F","04/22/2020",0562524,"102001.000D8F",01,00000011000000.00,"0NIAG    A562524 0NIAG    MM ENTRY                ","IDR"
"000D8F","04/22/2020",0562526,"102001.000D8F",01,00000017320000.00,"0NIAG    A562526 0NIAG    MM ENTRY                ","IDR"
"000D8F","04/22/2020",0562528,"102001.000D8F",01,00000001000000.00,"0NIAG    A562528 0NIAG    MM ENTRY                ","IDR"
"000D8F","04/22/2020",0562531,"102001.000D8F",01,-0000020338560.07,"0NIAG    A562532 0NIAG    MM ENTRY                ","IDR"
"000D8F","04/22/2020",0564784,"102001.000D8F",01,-0000023945621.28,"0NIAG    A564785 0NIAG    MM ENTRY                ","IDR"
